product_key,product,feature_id,capability,class,state,required_behavior_or_evidence,rollout_stage,rollout_stage_title,rollout_lane,release_note,source_file,source_line
assurarr,AssurArr,AS-CUR-011,"Quality metrics, scorecards, snapshots, and risk profiles",CURRENT,Durable,Performance and risk models support management review and trend analysis.,R6,"Quality hold, release, and corrective action",Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/assurarr/FEATURESET.md,123
assurarr,AssurArr,AS-CUR-012,Timeline/history UI,CURRENT,Durable,Cross-record history and dedicated route support explainability.,R6,"Quality hold, release, and corrective action",Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/assurarr/FEATURESET.md,124
assurarr,AssurArr,AS-COM-001,Nonconformance and deviation,COMMON,Target,"Detection, classification, affected scope, containment, investigation, disposition, approvals, and closure.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,132
assurarr,AssurArr,AS-COM-002,Quality hold and release,COMMON,Target,"Physical/system block, labels/status, scope expansion, review, release/reject, downstream acknowledgement, and residual conditions.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,133
assurarr,AssurArr,AS-COM-003,CAPA,COMMON,Target,"Problem statement, root cause, corrections, corrective/preventive actions, owners, due dates, change/training/document impact, verification, effectiveness, and closure.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,134
assurarr,AssurArr,AS-COM-004,Audit management,COMMON,Target,"Program/schedule, plan, checklist, evidence, findings, responses, actions, follow-up, closure, and audit package.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,135
assurarr,AssurArr,AS-COM-005,Change control,COMMON,Target,"Proposed change, risk/impact, affected products/processes/docs/training/validation, approvals, implementation, verification, and effective date.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,136
assurarr,AssurArr,AS-COM-006,Document and training integration,COMMON,Target,Controlled procedures/specs/forms from RecordArr and impacted assignments/qualifications through TrainArr.,R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,137
assurarr,AssurArr,AS-COM-007,Supplier quality,COMMON,Target,"Incoming quality, scorecard, supplier issue, SCAR, containment, source change, qualification, and improvement plan.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,138
assurarr,AssurArr,AS-COM-008,Customer complaints,COMMON,Target,"Intake, severity, reportability screening, investigation, affected product/service, response, trend, CAPA, and closure.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,139
assurarr,AssurArr,AS-COM-009,Risk management,COMMON,Target,"Quality risk register, FMEA or equivalent analyses, controls, residual risk, acceptance, monitoring, and linkage to changes/CAPA.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,140
assurarr,AssurArr,AS-COM-010,Inspection and test result integration,COMMON,Target,Receive inspection/test/measurement facts from operational systems and preserve method/equipment/evidence refs.,R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,141
assurarr,AssurArr,AS-COM-011,Calibration and equipment-quality context,COMMON,Target,"Calibration status/records through MaintainArr or specialized integration, out-of-tolerance impact, and affected-result review.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,142
assurarr,AssurArr,AS-COM-012,Statistical quality and trend,COMMON,Target,"Defect/nonconformance rates, control charts, Pareto, capability, sampling, recurrence, and alerting with governed definitions.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,143
assurarr,AssurArr,AS-COM-013,Management review,COMMON,Target,"Objectives, metrics, complaints, audit, CAPA, supplier, risk, resources, actions, and signed review package.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,144
assurarr,AssurArr,AS-COM-014,Electronic signatures and audit trail,COMMON,Target,"Identity, meaning, intent, timestamp, record/version, reason, and non-repudiation appropriate to configured regulation.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,145
assurarr,AssurArr,AS-UND-001,One connected quality story,UNDERSERVED,Target,"Nonconformance, hold, complaint, supplier, audit, CAPA, change, documents, training, inventory, maintenance, orders, and evidence link without duplicate modules.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,153
assurarr,AssurArr,AS-UND-002,Frontline mobile quality capture,UNDERSERVED,Target,"A worker can report, photograph, scan lot/asset/order, contain, and receive next steps in seconds, including offline queue.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,154
assurarr,AssurArr,AS-UND-003,Explainable hold propagation,UNDERSERVED,Target,"Show exactly which inventory, orders, assets, trips, suppliers, customers, and tasks are blocked and whether each product acknowledged it.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,155
assurarr,AssurArr,AS-UND-004,Small-team guided QMS,UNDERSERVED,Target,Progressive workflow and templates provide rigor without requiring a full-time quality systems administrator.,R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,156
assurarr,AssurArr,AS-UND-005,Supplier/customer collaboration without paid seats,UNDERSERVED,Target,"Scoped portals collect containment, evidence, responses, approvals, and acknowledgements without exposing internal data.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,157
assurarr,AssurArr,AS-UND-006,Quality action workload and escalation,UNDERSERVED,Target,"One queue prioritizes overdue/high-risk actions, blockers, dependencies, and next steps rather than sending repetitive email.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,158
assurarr,AssurArr,AS-UND-007,Evidence completeness coaching,UNDERSERVED,Target,"Before closure, explain missing tests, approvals, photos, lots/serials, affected scope, training, document, or effectiveness evidence.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,159
assurarr,AssurArr,AS-UND-008,Cross-product affected-object traceability,UNDERSERVED,Target,"Search from a problem to all related units, assets, work, orders, shipments, suppliers, customers, people, and documents with source confidence.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,160
assurarr,AssurArr,AS-UND-009,Root cause assistance that respects uncertainty,UNDERSERVED,Target,"Suggest hypotheses and evidence gaps, cite similar events, and distinguish contributing factors from verified root cause.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,161
assurarr,AssurArr,AS-UND-010,Practical no-code quality workflows,UNDERSERVED,Target,"Configure approved types, severity, routing, forms, decisions, approvals, and due dates with versioning and simulation.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,162
assurarr,AssurArr,AS-UND-011,Quality and compliance separation with integration,UNDERSERVED,Target,Quality decisions remain AssurArr while Compliance Core explains legal/evidence applicability; users see one coherent result.,R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,163
assurarr,AssurArr,AS-UND-012,Offline controlled procedures and forms,UNDERSERVED,Target,Workers access the current approved version and queue evidence while the server validates version before accepting completion.,R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,164
assurarr,AssurArr,AS-DEM-001,Advanced product/process risk and FMEA,DEMOCRATIZE,Target,"Reusable failure modes, effects, causes, controls, scores, actions, change impact, and live operational linkage.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,172
assurarr,AssurArr,AS-DEM-002,Statistical process control,DEMOCRATIZE,Target,"Data collection, control charts, rules, capability, alarms, reaction plans, and evidence connected to actual process/order/item context.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,173
assurarr,AssurArr,AS-DEM-003,Electronic batch/device/history record review,DEMOCRATIZE,Target,"Assemble and review process/production/service evidence, exceptions, signatures, and release without a separate enterprise MES/QMS stack.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,174
assurarr,AssurArr,AS-DEM-004,Validation and qualification management,DEMOCRATIZE,Target,"Protocols, requirements, test scripts, execution evidence, deviations, approvals, traceability, and periodic review.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,175
assurarr,AssurArr,AS-DEM-005,AI-assisted complaint and nonconformance triage,DEMOCRATIZE,Target,"Classify, dedupe, identify affected refs, summarize evidence, and propose severity/routing with human approval and citations.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,176
assurarr,AssurArr,AS-DEM-006,Computer-vision defect assistance,DEMOCRATIZE,Target,"Propose defect type, location, count, severity, and comparison to standards from images while retaining human inspection authority.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,177
assurarr,AssurArr,AS-DEM-007,Predictive quality and recurrence risk,DEMOCRATIZE,Target,"Use supplier, process, lot, asset, environment, operator qualification, inspection, and historical data to prioritize prevention.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,178
assurarr,AssurArr,AS-DEM-008,Digital quality passport,DEMOCRATIZE,Target,"Portable, permissioned package of origin, inspections, certificates, holds/releases, changes, and evidence by product/lot/asset/order.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,179
assurarr,AssurArr,AS-DEM-009,Regulated e-signature controls,DEMOCRATIZE,Target,"Configurable signature meaning, reauthentication, sequence, reason, record locking, audit, and validation evidence suitable for regulated users.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,180
assurarr,AssurArr,AS-DEM-010,Enterprise supplier quality network for SMB,DEMOCRATIZE,Target,"Multi-tier issue collaboration, shared evidence, source-change approval, and cross-supplier trend without enterprise network fees.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,181
assurarr,AssurArr,AS-FND-001,Tenant-scoped authorization,FOUNDATION,Target,Every read and write is tenant-scoped server-side; product UI visibility never substitutes for authorization.,R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,187
assurarr,AssurArr,AS-FND-002,StaffArr-backed action permissions,FOUNDATION,Target,"Use product action keys, role scopes, delegated authority, and explicit denial reasons; ownership does not prevent permissioned delegated workflows.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,188
assurarr,AssurArr,AS-FND-003,Unified suite shell,FOUNDATION,Target,"Consistent navigation, page anatomy, terminology, responsive behavior, keyboard access, and light/dark contrast across products.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,189
assurarr,AssurArr,AS-FND-004,Record lifecycle and history,FOUNDATION,Target,"Human-readable statuses, timeline events, actor/time/source attribution, undo or correction paths, and immutable audit evidence.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,190
assurarr,AssurArr,AS-FND-005,Quick create for missing references,FOUNDATION · UNDERSERVED,Target,Create the minimum valid cross-product reference without abandoning the current task; preserve context and allow later backfill.,R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,191
assurarr,AssurArr,AS-FND-006,Saved views and personal preferences,COMMON,Target,"Per-user filters, columns, density, sort, board/list preference, default landing view, and product-scoped preferences.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,192
assurarr,AssurArr,AS-FND-007,Bulk operations with preview,COMMON,Target,"Selection-aware actions, dry-run/impact preview, partial failure handling, downloadable results, and permission checks per record.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,193
assurarr,AssurArr,AS-FND-008,Import with mapping and review,COMMON · UNDERSERVED,Target,"Product-specific import separate from Smart Import, with templates, mappings, validation, dedupe, dry run, commit plan, and rollback/correction evidence.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,194
assurarr,AssurArr,AS-FND-009,Export and portability,COMMON · DEMOCRATIZE,Target,"CSV/PDF/JSON or package export appropriate to the domain, without trapping customer data behind enterprise tiers.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,195
assurarr,AssurArr,AS-FND-010,"Notifications, tasks, and inbox",COMMON,Target,"Actionable notifications with ownership, due dates, escalation, snooze/delegation, deep links, and duplicate suppression.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,196
assurarr,AssurArr,AS-FND-011,"API, webhooks, and event outbox",COMMON · DEMOCRATIZE,Target,"Stable versioned APIs, idempotency, service authentication, signed webhooks/events, retries, dead-letter handling, and correlation IDs.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,197
assurarr,AssurArr,AS-FND-012,RecordArr evidence references,FOUNDATION,Target,Files and evidence are stored once in RecordArr and referenced by owning records; products do not create shadow document vaults.,R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,198
assurarr,AssurArr,AS-FND-013,ReportArr projections and metrics,FOUNDATION,Target,Operational products emit facts/events; ReportArr builds read models and reports without becoming the source of operational truth.,R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,199
assurarr,AssurArr,AS-FND-014,Compliance Core applicability and gates,FOUNDATION,Target,"Products request explainable requirements, missing facts, evidence needs, and gate decisions rather than embedding independent legal logic.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,200
assurarr,AssurArr,AS-FND-015,Field Companion execution surface,FOUNDATION · UNDERSERVED,Target,"Mobile-first task, scan, capture, acknowledgement, and offline execution against the owning product API.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,201
assurarr,AssurArr,AS-FND-016,Professional print and report view,COMMON,Target,"Print output is a purpose-built report document without the app shell, not a screenshot of the current page.",R6,"Quality hold, release, and corrective action",Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,202
assurarr,AssurArr,AS-FND-017,Accessible error and degraded states,FOUNDATION,Target,"Explain what failed, what remains saved, whether retry is safe, what the user can do, and which administrator or integration owns the issue.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,203
assurarr,AssurArr,AS-FND-018,"Time, locale, and units",FOUNDATION,Target,"Store canonical timestamps and units; display tenant/user locale, timezone, currency, and measurement preferences consistently.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,204
assurarr,AssurArr,AS-FND-019,"Retention, privacy, and legal hold awareness",FOUNDATION,Target,"Product deletion/archive actions respect RecordArr retention, legal holds, privacy policy, and downstream references.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,205
assurarr,AssurArr,AS-FND-020,"AI-assisted proposals, never silent commits",UNDERSERVED,Target,"AI may classify, summarize, suggest, or draft; consequential changes remain reviewable, permissioned, attributable, and reversible.",R12,"Expansion, portals, advanced integrations, AI, and category depth",Retained expansion backlog after core vertical proof,Implement behind owning product contracts before release,products/assurarr/FEATURESET.md,206
compliancecore,Compliance Core,CC-CUR-001,Controlled vocabulary and canonical key registry,CURRENT,Durable,"Vocabulary types/terms, aliases, compliance keys, and material keys provide normalized machine-readable concepts across regulations and products.",R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,109
compliancecore,Compliance Core,CC-CUR-002,Regulatory authority and jurisdiction model,CURRENT,Durable,"Governing bodies, jurisdictions, programs, source references, and citations support traceable legal context.",R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,110
compliancecore,Compliance Core,CC-CUR-003,Rulepack authoring and version lifecycle,CURRENT,Durable,"Rule packs, requirements, expressions, dependencies, mappings, tests, publication, status, and historical versions are persistently represented.",R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,111
compliancecore,Compliance Core,CC-CUR-004,Fact definitions and source provenance,CURRENT,Durable,"Facts carry source, product/subject context, confidence, effective time, review/conflict state, and evaluation relevance.",R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,112
compliancecore,Compliance Core,CC-CUR-005,Requirement and evidence modeling,CURRENT,Durable,"Rule requirements, fact requirements, evidence requirements, references, and mapping workflows connect obligations to proof.",R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,113
compliancecore,Compliance Core,CC-CUR-006,Source ingestion and staged import,CURRENT,Durable,"Import batches, staged records, validation, mapping, review, diff, and publication concepts support controlled regulatory content ingestion.",R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,114
compliancecore,Compliance Core,CC-CUR-007,Applicability and rule evaluation,CURRENT,Durable,Evaluation endpoints and models resolve facts against rules and retain explainability-oriented outputs.,R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,115
compliancecore,Compliance Core,CC-CUR-008,Product fact mirrors and synchronization,CURRENT,Durable,Product facts and source state can be mirrored through APIs/events without cross-database foreign keys.,R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,116
compliancecore,Compliance Core,CC-CUR-009,Workflow gates and product responses,CURRENT,Durable,"Products can request gate decisions, receive missing-fact/evidence reasons, and report operational responses.",R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,117
compliancecore,Compliance Core,CC-CUR-010,"Findings, remediation, and closure evidence",CURRENT,Durable,"Finding records, status, severity, owner/context, response, and verification concepts support corrective compliance work.",R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,118
compliancecore,Compliance Core,CC-CUR-011,"Exceptions, exemptions, waivers, and interpretations",CURRENT,Durable,"Time-bounded departures and legal exceptions can be scoped, approved, supported by evidence, and reevaluated.",R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,119
compliancecore,Compliance Core,CC-CUR-012,Regulatory change and impact analysis,CURRENT,Durable,"Change-source, impact, affected rule/control/product, review, notification, and response models are present.",R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,120
compliancecore,Compliance Core,CC-CUR-013,Risk and readiness analytics,CURRENT,Durable,"Risk signals, control effectiveness, missing evidence, exposure, and forecast/readiness concepts are represented.",R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,121
compliancecore,Compliance Core,CC-CUR-014,Questionnaires and theoretical situation evaluation,CURRENT,Durable,Plain-language fact collection and hypothetical scenario evaluation are modeled without altering production facts.,R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,122
compliancecore,Compliance Core,CC-CUR-015,SDS and hazard communication support,CURRENT,Durable,"SDS references, material/hazard keys, mappings, and regulatory context support HazCom-oriented evaluations.",R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,123
compliancecore,Compliance Core,CC-CUR-016,Audit delivery and export packages,CURRENT,Durable,Manifest/export/job/orchestration endpoints support repeatable audit and evidence delivery.,R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,124
compliancecore,Compliance Core,CC-CUR-017,Comprehensive administrative workspace,CURRENT,Durable,"The web application exposes authoring, evaluation, evidence mapping, findings, change, reporting, and administration surfaces.",R2,Compliance Core runtime baseline,Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/compliancecore/FEATURESET.md,125
compliancecore,Compliance Core,CC-COM-001,Regulatory and framework library,COMMON,Target,"Maintain obligations from laws, regulations, standards, contracts, internal policy, and customer requirements with source/version/jurisdiction/effective dates.",R2,Compliance Core runtime baseline,Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/compliancecore/FEATURESET.md,133
compliancecore,Compliance Core,CC-COM-002,Control library and cross-framework mapping,COMMON,Target,"Define controls once and map them to multiple requirements, risks, policies, evidence sources, owners, tests, and products.",R2,Compliance Core runtime baseline,Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/compliancecore/FEATURESET.md,134
compliancecore,Compliance Core,CC-COM-003,Enterprise and operational risk register,COMMON,Target,"Record risks, causes, impacts, likelihood, inherent/residual ratings, controls, treatment, acceptance, review, and escalation.",R2,Compliance Core runtime baseline,Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/compliancecore/FEATURESET.md,135
compliancecore,Compliance Core,CC-COM-004,Compliance applicability assessment,COMMON,Target,"Determine which laws, rulepacks, controls, reports, and evidence apply by tenant, legal entity, operation, site, person, asset, material, product, customer, or event.",R2,Compliance Core runtime baseline,Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/compliancecore/FEATURESET.md,136
compliancecore,Compliance Core,CC-COM-005,Policy and attestation governance,COMMON,Target,"Link policy obligations to RecordArr documents, owners, approvals, distribution, attestations, exceptions, and training.",R2,Compliance Core runtime baseline,Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/compliancecore/FEATURESET.md,137
compliancecore,Compliance Core,CC-COM-006,Assessment and control testing,COMMON,Target,"Plan tests, select samples, execute procedures, capture evidence, record exceptions, rate design/operating effectiveness, and issue findings.",R2,Compliance Core runtime baseline,Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/compliancecore/FEATURESET.md,138
compliancecore,Compliance Core,CC-COM-007,Issue and remediation management,COMMON,Target,"Create findings, assign plans/tasks, set due dates, accept risk, collect evidence, verify effectiveness, reopen, escalate, and close.",R2,Compliance Core runtime baseline,Complete expected category baseline after MVP proof,Implement behind owning product contracts before release,products/compliancecore/FEATURESET.md,139
