Product,Feature,Milestone,Acceptance Signal,Owner Boundary
Suite Frontend,StaffArr surfaces,M3,"StaffArr surfaces has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Authenticated suite UI, product switcher, entitlement-aware navigation, shared shell, shared design system."
Suite Frontend,TrainArr surfaces,M3,"TrainArr surfaces has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Authenticated suite UI, product switcher, entitlement-aware navigation, shared shell, shared design system."
Suite Frontend,MaintainArr surfaces,M3,"MaintainArr surfaces has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Authenticated suite UI, product switcher, entitlement-aware navigation, shared shell, shared design system."
Suite Frontend,RoutArr surfaces,M3,"RoutArr surfaces has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Authenticated suite UI, product switcher, entitlement-aware navigation, shared shell, shared design system."
Suite Frontend,SupplyArr surfaces,M3,"SupplyArr surfaces has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Authenticated suite UI, product switcher, entitlement-aware navigation, shared shell, shared design system."
Suite Frontend,Compliance Core permitted surfaces,M3,"Compliance Core permitted surfaces has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Authenticated suite UI, product switcher, entitlement-aware navigation, shared shell, shared design system."
Suite Frontend,centralized lucide-react nav icon registry,M3,"centralized lucide-react nav icon registry has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Authenticated suite UI, product switcher, entitlement-aware navigation, shared shell, shared design system."
Suite Frontend,server-driven entitlement navigation,M3,"server-driven entitlement navigation has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Authenticated suite UI, product switcher, entitlement-aware navigation, shared shell, shared design system."
Suite Frontend,server-driven permission hints,M3,"server-driven permission hints has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Authenticated suite UI, product switcher, entitlement-aware navigation, shared shell, shared design system."
Suite Frontend,shared Tailwind 4 design system,M3,"shared Tailwind 4 design system has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Authenticated suite UI, product switcher, entitlement-aware navigation, shared shell, shared design system."
Suite Frontend,shadcn/ui-style components,M3,"shadcn/ui-style components has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Authenticated suite UI, product switcher, entitlement-aware navigation, shared shell, shared design system."
Suite Frontend,TanStack Query or RTK Query API layer,M3,"TanStack Query or RTK Query API layer has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Authenticated suite UI, product switcher, entitlement-aware navigation, shared shell, shared design system."
Suite Frontend,Zod validation,M3,"Zod validation has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Authenticated suite UI, product switcher, entitlement-aware navigation, shared shell, shared design system."
Suite Frontend,React Hook Form workflows,M3,"React Hook Form workflows has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Authenticated suite UI, product switcher, entitlement-aware navigation, shared shell, shared design system."
Suite Frontend,Vitest unit coverage,M3,"Vitest unit coverage has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Authenticated suite UI, product switcher, entitlement-aware navigation, shared shell, shared design system."
Suite Frontend,Playwright E2E coverage,M3,"Playwright E2E coverage has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Authenticated suite UI, product switcher, entitlement-aware navigation, shared shell, shared design system."
NexArr,auth login,M2,"auth login has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,logout,M2,"logout has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,session renewal,M2,"session renewal has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,session-renewal tokens,M2,"session-renewal tokens has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,tenant management,M2,"tenant management has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,tenant membership,M2,"tenant membership has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,product catalog,M2,"product catalog has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,entitlement grants,M2,"entitlement grants has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,entitlement revokes,M2,"entitlement revokes has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,service client registration,M2,"service client registration has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,service token issuance,M2,"service token issuance has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,service token validation,M2,"service token validation has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,product launch context,M2,"product launch context has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,handoff codes,M2,"handoff codes has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,callback allowlist validation,M2,"callback allowlist validation has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,tenant/product launch diagnostics,M2,"tenant/product launch diagnostics has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,platform admin dashboard,M2,"platform admin dashboard has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,launch failure states,M2,"launch failure states has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,audit search,M2,"audit search has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,audit export,M12,"audit export has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,health/readiness checks,M13,"health/readiness checks has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,hybrid data-plane metadata,M2,"hybrid data-plane metadata has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,subscription/licensing records,M2,"subscription/licensing records has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,service-token cleanup worker,M12,"service-token cleanup worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,entitlement reconciliation worker,M12,"entitlement reconciliation worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,tenant lifecycle worker,M12,"tenant lifecycle worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,platform audit rollups,M2,"platform audit rollups has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,API surface /api/auth/login,M2,"/api/auth/login exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,API surface /api/auth/renew,M2,"/api/auth/renew exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,API surface /api/auth/logout,M2,"/api/auth/logout exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,API surface /api/me,M2,"/api/me exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,API surface /api/me/tenants,M2,"/api/me/tenants exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,API surface /api/me/entitlements,M2,"/api/me/entitlements exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,API surface /api/me/navigation,M2,"/api/me/navigation exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,API surface /api/tenants,M2,"/api/tenants exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,API surface /api/products,M2,"/api/products exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,API surface /api/entitlements,M2,"/api/entitlements exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,API surface /api/service-tokens,M2,"/api/service-tokens exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,API surface /api/platform-admin/*,M2,"/api/platform-admin/* exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
NexArr,API surface /health,M1,"/health exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Platform login, tenants, entitlements, product launch, service clients, service tokens, platform audit."
StaffArr,people directory,M4,"people directory has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,person profile,M4,"person profile has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,person creation,M4,"person creation has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,onboarding flow,M4,"onboarding flow has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,NexArr personId linkage,M4,"NexArr personId linkage has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,org tree,M4,"org tree has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,site assignments,M4,"site assignments has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,department assignments,M4,"department assignments has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,team assignments,M4,"team assignments has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,position assignments,M4,"position assignments has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,manager hierarchy,M4,"manager hierarchy has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,manager/subordinate view,M4,"manager/subordinate view has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,role templates,M4,"role templates has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,permission templates,M4,"permission templates has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,permission assignment,M4,"permission assignment has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,scoped permissions,M4,"scoped permissions has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,permission history,M4,"permission history has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,certification visibility,M4,"certification visibility has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,certification grants/manual records,M4,"certification grants/manual records has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,manual overrides,M4,"manual overrides has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,readiness calculation,M4,"readiness calculation has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,person readiness,M4,"person readiness has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,team readiness,M4,"team readiness has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,site readiness,M4,"site readiness has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,plain-English blockers,M4,"plain-English blockers has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,incident intake,M4,"incident intake has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,incident routing to TrainArr,M4,"incident routing to TrainArr has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,training blocker display,M4,"training blocker display has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,person timeline,M4,"person timeline has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,personnel notes,M4,"personnel notes has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,documents,M4,"documents has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,audit package export,M12,"audit package export has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,product-facing readiness API,M4,"product-facing readiness API has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,product-facing person lookup API,M4,"product-facing person lookup API has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,permission projection worker,M12,"permission projection worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,certification expiration worker,M12,"certification expiration worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,personnel history rollup worker,M12,"personnel history rollup worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,audit package generation worker,M12,"audit package generation worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,API surface /api/people,M4,"/api/people exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,API surface /api/org-units,M4,"/api/org-units exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,API surface /api/sites,M4,"/api/sites exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,API surface /api/departments,M4,"/api/departments exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,API surface /api/teams,M4,"/api/teams exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,API surface /api/positions,M4,"/api/positions exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,API surface /api/roles,M4,"/api/roles exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,API surface /api/permissions,M4,"/api/permissions exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,API surface /api/certifications,M4,"/api/certifications exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,API surface /api/readiness,M4,"/api/readiness exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,API surface /api/incidents,M4,"/api/incidents exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,API surface /api/person-history,M4,"/api/person-history exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,API surface /api/audit-packages,M12,"/api/audit-packages exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
StaffArr,API surface /health,M1,"/health exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","People, org, sites, departments, teams, permissions, readiness, certifications visibility, personnel history, incidents."
TrainArr,tenant training dashboard,M6,"tenant training dashboard has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,personal training dashboard,M6,"personal training dashboard has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,manager dashboard,M6,"manager dashboard has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,trainer/evaluator dashboard,M6,"trainer/evaluator dashboard has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,compliance dashboard,M6,"compliance dashboard has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,guided program builder,M6,"guided program builder has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
